episode,participant,pair_id,mode,path_rmse_mm,normal_offset_median_mm,normal_offset_rmse_mm,orientation_rmse_deg,speed_median_mm_s,speed_p95_mm_s,accel_p95_mm_s2,force_median_n,force_p95_n,force_rate_p95_n_s,duration_s,end_reason
comparison_gyc_gyc-06_darboux_0708_201108,gyc,gyc-06,darboux,6.884443527534046,21.625357047083764,21.752884255793493,12.545242000825462,2.7424187959913753,8.838515620591608,105.29377212071181,1.8638150119562171,4.694787560227402,2.974580679696909,36.837385007000194,reached
comparison_gyc_gyc-06_full_joint_0708_201253,gyc,gyc-06,full_joint,22.10034897834799,13.844687910705382,14.954962693487866,45.18603759718433,6.720922536783108,33.81601335351363,222.85809972761177,6.8586876528063065,16.060350313048264,18.16453540210396,30.3269719609998,manual
comparison_gyc_gyc-07_darboux_0708_202215,gyc,gyc-07,darboux,7.208150271718832,20.140844668668684,20.11752617852672,9.775869240125825,3.6658455425673866,11.780104655146621,113.92782805990814,4.828165817006258,8.80205951915014,6.098550342800905,23.165917252001236,reached
comparison_gyc_gyc-07_full_joint_0708_202333,gyc,gyc-07,full_joint,2.884397095023413,17.13452741726202,17.758348847612833,21.681641707638324,8.947214057679439,38.40797816749368,260.60723601123215,7.24645387957608,14.382959634821589,24.41393175081781,21.041641874999186,reached
comparison_gyc_gyc-08_darboux_0708_202500,gyc,gyc-08,darboux,7.483028018317234,12.500380639303089,13.464321688586528,4.597316207118638,3.8799817159085137,12.218071836278392,106.54811943530527,2.621018683518439,13.107853439704646,4.487500358817854,28.691205398998136,reached
comparison_gyc_gyc-08_full_joint_0708_202633,gyc,gyc-08,full_joint,10.0207749914649,14.941221440210594,14.723041703604979,22.692620772998055,4.267035936277083,11.585778287147003,103.4111682965446,0.64224836993737,2.280038127077626,7.292924149721074,0.8779662279994227,reached
comparison_gyc_gyc-09_darboux_0708_202917,gyc,gyc-09,darboux,3.7419462914376345,15.042727838518232,14.948993385511434,4.423717950479998,3.592300234846514,13.67932478601568,117.88910807012499,3.554910604745932,5.947284142816669,4.622812766177134,18.88456953900095,reached
comparison_gyc_gyc-09_full_joint_0708_203029,gyc,gyc-09,full_joint,8.96900027215183,17.858192898801157,17.674680970667268,14.339924051571275,8.094927882103466,24.4294665121935,193.2358613990994,0.35445121747312447,4.245466821015366,13.399159460293008,13.500497709999763,reached
comparison_gyc_gyc-10_darboux_0708_203158,gyc,gyc-10,darboux,4.706715566170518,22.946356355164678,22.93074384283332,7.981600057036437,2.603540364254547,7.270390881327501,94.05238814721532,3.682102791451144,9.815383407513433,4.857067991448872,30.731663487000333,reached
comparison_gyc_gyc-10_full_joint_0708_203317,gyc,gyc-10,full_joint,5.311753406289243,20.197850357160554,20.645123819482137,19.040600428637514,10.0628178567183,29.88501917930531,249.30478734974315,8.790856025206057,18.298453382494095,29.005939269403086,27.037255830000504,reached
comparison_gyc_gyc-11_darboux_0708_203617,gyc,gyc-11,darboux,5.340433997143975,10.201685479422826,11.07595904367305,7.841464931373281,3.0739904867666645,8.622420502568723,107.1552857308838,4.089084765366331,7.147606868865942,4.050980750529249,31.871338728997216,reached
comparison_gyc_gyc-11_full_joint_0708_203746,gyc,gyc-11,full_joint,10.874208356956421,10.422861985293425,11.10631006275887,18.017453787395887,10.892209797603606,30.505517397327004,259.47497832626334,4.961167830192118,19.196030459787696,31.577176855321994,20.68345283600138,reached
comparison_gyc_gyc-12_darboux_0708_204812,gyc,gyc-12,darboux,6.450322995236828,20.730542325226224,20.8498713682264,8.498198422811292,3.1812283946382043,8.108580902473388,102.5321033182809,6.450103205615736,10.658536509916749,5.137870236495965,33.254624986002455,reached
comparison_gyc_gyc-12_full_joint_0708_204940,gyc,gyc-12,full_joint,11.474381930707203,19.724269458784928,19.988610935847078,35.43254507741433,7.380789821071646,30.39510193816809,237.83737104885057,5.76594091823244,14.380793021303766,20.982182840812523,29.034871758001827,manual
comparison_gyc_gyc-13_darboux_0709_163908,gyc,gyc-13,darboux,3.7521162869679756,19.154854489925814,19.29866903561206,7.728789900796641,3.6661663988008892,18.689729164246923,136.51115903569098,3.8652808874775397,8.835420192332318,5.339927291393122,30.82043331099976,reached
comparison_gyc_gyc-13_full_joint_0709_164028,gyc,gyc-13,full_joint,3.804313934954059,15.745385220668576,15.779399173021497,23.3110340240059,6.934269186589542,28.569492728896687,240.82016043113242,8.017443192628278,12.967710792891161,24.806050739288704,9.153367297999921,reached
comparison_wk_wk-02_darboux_0709_213031,wk,wk-02,darboux,3.8824161075959984,17.40742113548868,17.686075448717435,5.894811291608501,2.691399856889096,9.381466465973993,105.14702740249713,1.1930127328515403,4.3162665153643305,3.4284747598284397,24.861152559999027,reached
comparison_wk_wk-02_full_joint_0709_213325,wk,wk-02,full_joint,7.688667852001844,8.475313206779331,10.085460918160093,56.253804616928356,9.41808831555715,45.775515890299985,338.3822037338447,8.234904401032033,16.425514536194285,25.480154721639632,5.95378595800139,reached
