ts_plus,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33,probe_visible
522.971,0.901205215887,0.414502253907,0.126558446436,-97.4365782113,-0.306146462233,0.815554629573,-0.491065158451,-46.826681383,-0.306762941896,0.403805061494,0.861880484633,-828.522369505,0,0,0,1,1
523.047,0.900693847639,0.413876721659,0.132123624288,-93.0186193384,-0.305009314056,0.818950877169,-0.486095442402,-47.6980542338,-0.30938634612,0.397524238322,0.863860271561,-828.311536324,0,0,0,1,1
523.108,0.902226205848,0.409729496592,0.134571962544,-89.3437503705,-0.301305565195,0.822125389369,-0.483037059177,-48.3327135831,-0.308549558196,0.395261411952,0.865196848329,-828.665753213,0,0,0,1,1
523.169,0.902437909236,0.408832423479,0.135874462231,-86.0555410082,-0.30016157531,0.822898263889,-0.48243287201,-49.2141087063,-0.309045059307,0.394581419736,0.865330373047,-829.474375355,0,0,0,1,1
523.227,0.899379605019,0.414849986379,0.137897842178,-83.4435653687,-0.303942421192,0.820096021565,-0.484831434638,-50.1691246033,-0.314221785808,0.394134500157,0.863668145244,-830.467529297,0,0,0,1,1
523.285,0.894238664302,0.42537760619,0.139251942248,-81.6347045188,-0.310631250547,0.813801694343,-0.491156826755,-51.2825868256,-0.322250581771,0.395955419758,0.859868517922,-831.458671405,0,0,0,1,1
523.366,0.886698621473,0.441089108136,0.138585545285,-78.7561700801,-0.321169738162,0.803243275374,-0.501647525515,-52.7618521835,-0.332589166942,0.400300686047,0.853899178348,-832.98438861,0,0,0,1,1
523.426,0.88390299543,0.447154062321,0.136999048244,-76.219329834,-0.326220779146,0.79941689071,-0.504492455941,-53.3258666992,-0.335105204261,0.401230456718,0.852477930904,-833.303833008,0,0,0,1,1
523.488,0.882950174325,0.450471541497,0.132190695437,-73.7226115713,-0.331143379324,0.797194178088,-0.50480244131,-53.3248622632,-0.332780786688,0.401941329952,0.853053407055,-833.389633011,0,0,0,1,1
523.547,0.880879459746,0.455880065746,0.127376383422,-71.2285703288,-0.335124152983,0.790698107932,-0.512336124238,-53.6292228818,-0.334280091369,0.408619465723,0.849286143032,-834.208476739,0,0,0,1,1
523.608,0.875383296007,0.466472867774,0.126913942115,-68.8261259056,-0.340746182702,0.781598943778,-0.5224893588,-54.3458293621,-0.342922912688,0.414133015728,0.843147508588,-835.273736559,0,0,0,1,1
523.668,0.870609615607,0.476049680624,0.124159569872,-67.1920253046,-0.347756829078,0.773993593889,-0.529149415996,-55.1983798591,-0.348000122188,0.41750523134,0.839395792675,-835.451882171,0,0,0,1,1
523.73,0.866075974403,0.485805363095,0.117921820496,-66.3912718121,-0.357785611574,0.767100882216,-0.532490086907,-55.6145263196,-0.34914447255,0.418986140214,0.838181812972,-834.408877424,0,0,0,1,1
523.791,0.860222565493,0.496390708805,0.116676484475,-65.4592252474,-0.369294911508,0.764247335108,-0.52872230813,-55.2461210863,-0.351622533623,0.411730828324,0.840737366159,-831.90053947,0,0,0,1,1
523.852,0.857088820921,0.502702914518,0.112643387682,-64.2099960098,-0.378217085444,0.762475870372,-0.524959411173,-55.141359956,-0.349786491065,0.407333188969,0.84364037589,-829.408129825,0,0,0,1,1
523.91,0.855141363218,0.506623472669,0.10984491729,-62.4823376889,-0.384059190219,0.761476138926,-0.522161496335,-55.4430346609,-0.348183554066,0.404334943812,0.845743144158,-827.761639473,0,0,0,1,1
523.992,0.853965524128,0.509474102907,0.105730894572,-59.5331016325,-0.386328742806,0.756934850607,-0.527067106182,-56.6880064026,-0.348558439981,0.409250254006,0.843220756098,-827.543568638,0,0,0,1,1
524.029,0.853262349834,0.511196502401,0.103060653447,-58.2054915962,-0.388282621385,0.754713418425,-0.528814014546,-57.3819630942,-0.348109132724,0.411200427995,0.842457262851,-827.758611396,0,0,0,1,1
524.11,0.846705786417,0.522262979914,0.101640007181,-56.4388014462,-0.395901088354,0.746045885238,-0.535423071374,-58.4659393815,-0.355459757903,0.41310642325,0.838445850118,-828.675270161,0,0,0,1,1
524.17,0.840936485736,0.531923241046,0.0994157562623,-56.7225368481,-0.40405675328,0.739432052116,-0.538496407074,-58.6816518029,-0.359949950808,0.412671668446,0.836742569119,-828.594675091,0,0,0,1,1
524.228,0.838499821738,0.53647298857,0.0954713647094,-56.7102429364,-0.409466245126,0.735944482294,-0.539187456348,-58.859874094,-0.359521130181,0.413016284806,0.836756897455,-828.308423733,0,0,0,1,1
524.287,0.83799059689,0.536836532851,0.0978687719395,-55.6037141003,-0.410750075374,0.738620787229,-0.534531297731,-58.4876628495,-0.359243837949,0.407732595791,0.839462920697,-827.483296573,0,0,0,1,1
524.368,0.84356062245,0.528680655678,0.0943516855399,-54.1942404316,-0.404453096016,0.741006712805,-0.536028678991,-57.7732592798,-0.353303225821,0.41401185477,0.838910611886,-826.507638251,0,0,0,1,1
524.428,0.850452981897,0.516591910707,0.0993102380174,-51.8961363446,-0.393830150334,0.750402914992,-0.530842046054,-57.1295110767,-0.348751398951,0.412344835014,0.841631866535,-825.153227201,0,0,0,1,1
524.467,0.854434392878,0.510071465442,0.0988380918915,-50.6455431726,-0.389889933188,0.755216093622,-0.526910326272,-56.661675787,-0.343406039938,0.411674327686,0.844154334028,-824.272862062,0,0,0,1,1
524.549,0.85325314552,0.511280921782,0.102717518869,-49.4070854987,-0.391014263011,0.757557228109,-0.522699619535,-55.91279919,-0.345060742163,0.405831079591,0.846306220617,-823.218337507,0,0,0,1,1
524.61,0.852288959546,0.512651041993,0.103886662181,-49.527588967,-0.391698563775,0.757144291166,-0.522785575061,-56.0647242026,-0.346663762992,0.404872117463,0.84611039701,-823.111552483,0,0,0,1,1
524.672,0.851983250359,0.512296269277,0.108060508937,-49.5426177979,-0.390072327245,0.758753692652,-0.521666956405,-56.1335296631,-0.349239345757,0.402300094919,0.846278035283,-822.885559082,0,0,0,1,1
524.732,0.851226169334,0.513473021156,0.1084410678,-49.7798314557,-0.391103201537,0.758461870819,-0.521319361103,-56.0229357801,-0.34993184249,0.401349033957,0.846443535361,-822.616692993,0,0,0,1,1
524.8,0.850731433681,0.514068048168,0.10949917625,-49.6579651506,-0.391462863167,0.758733897149,-0.520653147574,-56.0739656574,-0.350731884076,0.400071137637,0.846717326102,-822.313002574,0,0,0,1,1
524.861,0.850872560099,0.514377542393,0.106918802615,-49.9218537726,-0.392717185282,0.757902991322,-0.520918677079,-56.4448964122,-0.348982949233,0.401246557153,0.846883759153,-822.515513274,0,0,0,1,1
524.922,0.850527362836,0.514726973449,0.107978460217,-50.1184319704,-0.392348181316,0.757706118359,-0.5214828308,-56.668066789,-0.350237219161,0.401170264357,0.84640197856,-822.697130036,0,0,0,1,1
524.982,0.850240053315,0.515110453041,0.108411590273,-50.2285150085,-0.392859735877,0.758026777605,-0.520630994429,-56.8593477542,-0.350361355838,0.400070775741,0.846870884335,-822.551511516,0,0,0,1,1
525.042,0.84938796778,0.515445021031,0.113386553366,-50.0066622345,-0.390958451343,0.758833544662,-0.520886879102,-57.354929452,-0.354530068561,0.398105616376,0.846061669558,-821.931163257,0,0,0,1,1
525.102,0.847693381344,0.51642320522,0.121338387727,-49.3149482725,-0.389031385453,0.760677403994,-0.519638786259,-58.0337544949,-0.360652897337,0.393289918715,0.845726035711,-820.746716422,0,0,0,1,1
525.164,0.846689360582,0.51570319497,0.131024201488,-48.4572847268,-0.38439228248,0.763099935665,-0.519539277975,-58.7545247211,-0.36791262529,0.389523687196,0.844340924784,-819.162430079,0,0,0,1,1
525.224,0.84569947254,0.514948204909,0.140074081852,-47.4473419189,-0.380264724777,0.765640914603,-0.518837863861,-59.5846939087,-0.374421074775,0.385515675617,0.843318755049,-817.797180176,0,0,0,1,1
525.305,0.844031270889,0.515923028134,0.146405747165,-46.5420655185,-0.378867137252,0.766835207255,-0.518095992288,-60.7157620043,-0.379566734676,0.381820892508,0.842699175253,-816.564574769,0,0,0,1,1
525.365,0.842240373538,0.516021271587,0.156055119916,-45.5957820696,-0.37636075089,0.770070335509,-0.515115776848,-61.2750490305,-0.385984116735,0.375118282196,0.84279448028,-814.865025311,0,0,0,1,1
525.427,0.839359581822,0.51737613522,0.166725604239,-44.5066912539,-0.37459757361,0.772810680413,-0.512289283593,-62.0837101022,-0.393893577314,0.367539912042,0.842473894436,-812.874150519,0,0,0,1,1
525.486,0.836494227787,0.518850522144,0.176271218722,-43.557648818,-0.373881922734,0.775572321544,-0.508625482952,-62.815536527,-0.400611675731,0.359557658416,0.842750601033,-810.806384633,0,0,0,1,1
525.545,0.83404204467,0.520412964073,0.183150797286,-42.7498358347,-0.373560364497,0.777003554422,-0.506673593641,-63.5606916711,-0.405988327171,0.354169201429,0.842459289794,-808.943530532,0,0,0,1,1
525.607,0.831764003804,0.521713707124,0.189693040925,-41.8763651658,-0.372719816026,0.778075387767,-0.505646743975,-64.2542157864,-0.411398323669,0.349876404964,0.841628136728,-807.383092719,0,0,0,1,1
525.668,0.82941350964,0.522682041796,0.197171786038,-40.772834981,-0.370908274854,0.779179337312,-0.505278746784,-64.8960928006,-0.417732308627,0.345952371707,0.840128963219,-805.982213105,0,0,0,1,1
525.728,0.827913509797,0.522986236991,0.202594709242,-40.0043583802,-0.368767159514,0.779767546037,-0.505938095236,-65.6155486548,-0.422575439844,0.344162708707,0.838440234946,-805.106260345,0,0,0,1,1
525.79,0.825751901742,0.523761248375,0.209303491297,-39.1249129853,-0.365935427872,0.779866860666,-0.507837515611,-66.6824474414,-0.429214467833,0.34275623165,0.835639339828,-803.916489681,0,0,0,1,1
525.851,0.823668064047,0.523200704457,0.218705151117,-37.7389018064,-0.361773126125,0.78181337199,-0.507826797827,-67.917856789,-0.436681950032,0.339159069218,0.833234660995,-802.254051926,0,0,0,1,1
525.914,0.821421510247,0.521930310207,0.229903140019,-36.3716744013,-0.356043482031,0.784199922871,-0.508196339885,-69.1932889819,-0.445533097993,0.335587890508,0.829988570004,-800.436892876,0,0,0,1,1
525.994,0.819268622734,0.519075115424,0.243638971332,-34.9945209469,-0.346335546237,0.786580346364,-0.511217222057,-71.2564225092,-0.457001765004,0.334443393211,0.824194760673,-799.100233006,0,0,0,1,1
526.035,0.818141921792,0.517378442979,0.250924973939,-34.3245642272,-0.340807084154,0.787772550928,-0.513093499661,-72.6451416326,-0.463135322769,0.334266293162,0.820835987308,-798.316318749,0,0,0,1,1
526.097,0.816650920374,0.515799374083,0.258905928763,-33.5933235004,-0.334740245234,0.788767336151,-0.51555315695,-74.454810409,-0.470138535406,0.334360726038,0.816806380001,-796.779508676,0,0,0,1,1
526.159,0.813746782053,0.514606284358,0.270178731209,-32.3115148393,-0.328755084727,0.790868221298,-0.516185577875,-76.2156462549,-0.479308114853,0.331221721268,0.812745902725,-795.00040712,0,0,0,1,1
526.238,0.810316578142,0.51222449263,0.284628024513,-30.1202570216,-0.319848821364,0.793596905437,-0.517591231719,-78.4144592728,-0.491002825511,0.328374817595,0.80689912908,-793.261925526,0,0,0,1,1
526.296,0.807906267282,0.509640716631,0.295894919251,-28.8296433633,-0.311990270041,0.795859428529,-0.518912171202,-80.1526389766,-0.49994953214,0.326916059522,0.801982764989,-792.054570499,0,0,0,1,1
526.357,0.805854332297,0.50671661929,0.306328357899,-27.706376813,-0.303788026753,0.797886901443,-0.52066239283,-82.1456311787,-0.508243671794,0.326519157541,0.796915058108,-790.830245145,0,0,0,1,1
526.417,0.804357245871,0.504206204949,0.31430164477,-26.8273640898,-0.296344133885,0.798960068525,-0.523300069954,-84.1170573261,-0.514965605964,0.327778754334,0.792067871385,-789.955384372,0,0,0,1,1
526.476,0.802462160106,0.501419131888,0.323470764945,-25.6899757385,-0.290386755245,0.801733618174,-0.522397107445,-85.5789871216,-0.521277290869,0.325272285425,0.788966365797,-789.048278809,0,0,0,1,1
526.537,0.800468536522,0.497570715334,0.334175859811,-24.3186964209,-0.282189416313,0.804737695066,-0.522270404543,-87.1907686613,-0.528790369957,0.323760135567,0.784576394788,-787.967873557,0,0,0,1,1
526.598,0.798364641084,0.495238095689,0.34256842885,-23.4119615708,-0.277403579704,0.807397318508,-0.520727206927,-88.7367175222,-0.534472781191,0.320700481204,0.781978290953,-786.66377873,0,0,0,1,1
526.661,0.796616847139,0.492352344417,0.350700396066,-22.4744002671,-0.27231671691,0.810259150472,-0.518964078494,-90.1522742601,-0.539671385702,0.317913947513,0.779541863809,-785.248002411,0,0,0,1,1
526.725,0.7948678193,0.490227294567,0.357578452235,-21.415473938,-0.269226486648,0.813053488003,-0.516198725815,-91.2267074585,-0.54378511264,0.314040165117,0.778252225159,-783.609985352,0,0,0,1,1
526.788,0.790867754921,0.490494467661,0.365982747434,-20.3984557507,-0.268111493773,0.815274706034,-0.513267357824,-92.2364504844,-0.550131276272,0.307802421847,0.776281680817,-781.875971056,0,0,0,1,1
526.85,0.787976923394,0.490442240445,0.372234841176,-19.3609939938,-0.268159788933,0.817584256712,-0.509555012513,-93.3653642153,-0.554240647912,0.301699174617,0.775754414901,-779.983131787,0,0,0,1,1
